Date,DVOL_Close
2021-03-24,95.04
2021-03-25,89.74
2021-03-26,84.52
2021-03-27,79.69
2021-03-28,79.07
2021-03-29,83.71
2021-03-30,85.08
2021-03-31,86.45
2021-04-01,82.38
2021-04-02,81.28
2021-04-03,81.29
2021-04-04,82.42
2021-04-05,80.22
2021-04-06,81.01
2021-04-07,78.78
2021-04-08,74.31
2021-04-09,77.07
2021-04-10,81.54
2021-04-11,82.61
2021-04-12,84.5
2021-04-13,88.64
2021-04-14,83.85
2021-04-15,77.08
2021-04-16,77.67
2021-04-17,74.43
2021-04-18,88.4
2021-04-19,83.2
2021-04-20,82.96
2021-04-21,83.0
2021-04-22,87.39
2021-04-23,89.31
2021-04-24,94.08
2021-04-25,93.46
2021-04-26,82.66
2021-04-27,77.53
2021-04-28,76.96
2021-04-29,80.2
2021-04-30,75.09
2021-05-01,76.15
2021-05-02,79.09
2021-05-03,81.79
2021-05-04,87.96
2021-05-05,84.39
2021-05-06,82.14
2021-05-07,80.56
2021-05-08,83.57
2021-05-09,86.05
2021-05-10,90.26
2021-05-11,86.27
2021-05-12,93.86
2021-05-13,92.9
2021-05-14,98.46
2021-05-15,102.85
2021-05-16,105.28
2021-05-17,123.02
2021-05-18,117.01
2021-05-19,124.83
2021-05-20,119.77
2021-05-21,139.98
2021-05-22,140.05
2021-05-23,156.2
2021-05-24,125.12
2021-05-25,129.11
2021-05-26,117.02
2021-05-27,107.26
2021-05-28,122.55
2021-05-29,129.3
2021-05-30,123.61
2021-05-31,106.47
2021-06-01,108.23
2021-06-02,103.17
2021-06-03,99.19
2021-06-04,102.91
2021-06-05,108.52
2021-06-06,105.93
2021-06-07,108.32
2021-06-08,111.04
2021-06-09,105.82
2021-06-10,99.46
2021-06-11,97.22
2021-06-12,99.39
2021-06-13,102.86
2021-06-14,98.88
2021-06-15,96.77
2021-06-16,95.25
2021-06-17,95.28
2021-06-18,94.73
2021-06-19,91.89
2021-06-20,95.63
2021-06-21,106.23
2021-06-22,107.01
2021-06-23,102.21
2021-06-24,100.99
2021-06-25,105.3
2021-06-26,106.7
2021-06-27,106.41
2021-06-28,104.3
2021-06-29,98.86
2021-06-30,104.51
2021-07-01,102.38
2021-07-02,99.23
2021-07-03,98.02
2021-07-04,95.89
2021-07-05,96.39
2021-07-06,95.74
2021-07-07,94.93
2021-07-08,94.43
2021-07-09,90.89
2021-07-10,90.57
2021-07-11,88.71
2021-07-12,90.51
2021-07-13,90.81
2021-07-14,86.97
2021-07-15,85.55
2021-07-16,82.59
2021-07-17,82.78
2021-07-18,83.52
2021-07-19,88.46
2021-07-20,91.49
2021-07-21,87.86
2021-07-22,84.64
2021-07-23,81.75
2021-07-24,81.31
2021-07-25,83.9
2021-07-26,87.68
2021-07-27,91.84
2021-07-28,95.68
2021-07-29,93.24
2021-07-30,93.49
2021-07-31,89.55
2021-08-01,89.3
2021-08-02,88.52
2021-08-03,89.04
2021-08-04,91.94
2021-08-05,96.09
2021-08-06,93.62
2021-08-07,97.27
2021-08-08,95.99
2021-08-09,106.97
2021-08-10,103.35
2021-08-11,100.53
2021-08-12,98.06
2021-08-13,100.3
2021-08-14,97.48
2021-08-15,98.69
2021-08-16,98.3
2021-08-17,96.68
2021-08-18,95.81
2021-08-19,94.5
2021-08-20,93.06
2021-08-21,92.71
2021-08-22,94.83
2021-08-23,93.64
2021-08-24,92.85
2021-08-25,93.62
2021-08-26,93.87
2021-08-27,90.92
2021-08-28,90.11
2021-08-29,90.6
2021-08-30,92.08
2021-08-31,91.08
2021-09-01,93.65
2021-09-02,92.82
2021-09-03,90.15
2021-09-04,91.3
2021-09-05,93.37
2021-09-06,92.86
2021-09-07,95.16
2021-09-08,92.31
2021-09-09,91.95
2021-09-10,90.57
2021-09-11,89.46
2021-09-12,92.13
2021-09-13,92.14
2021-09-14,90.9
